infinitive,definition,yo,tú,él/ella/ud,nosotros,vosotros,ellos/ellas/uds
ser,to be,soy,eres,es,somos,sois,son
tener,to have,tengo,tienes,tiene,tenemos,tenéis,tienen
comprar,to buy,compro,compras,compra,compramos,compráis,compran
enseñar,to teach,enseño,enseñas,enseña,enseñamos,enseñáis,enseñan
contestar,to answer,contesto,contestas,contesta,contestamos,contestáis,contestan
esperar,to wait,espero,esperas,espera,esperamos,esperáis,esperan
estudiar,to study,estudio,estudias,estudia,estudiamos,estudiáis,estudian
hablar,to speak,hablo,hablas,habla,hablamos,habláis,hablan
llegar,to arrive,llego,llegas,llega,llegamos,llegáis,llegan
mirar,to look,miro,miras,mira,miramos,miráis,miran
necesitar,to need,necesito,necesitas,necesita,necesitamos,necesitáis,necesitan
preguntar,to ask,pregunto,preguntas,pregunta,preguntamos,preguntáis,preguntan
regresar,to return,regreso,regresas,regresa,regresamos,regresáis,regresan
terminar,to end,termino,terminas,termina,terminamos,termináis,terminan
tomar,to take,tomo,tomas,toma,tomamos,tomáis,toman
trabajar,to work,trabajo,trabajas,trabaja,trabajamos,trabajáis,trabajan
usar,to use,uso,usas,usa,usamos,usáis,usan
aprender,to learn,aprendo,aprendes,aprende,aprendemos,aprendéis,aprenden
comer,to eat,como,comes,come,comemos,coméis,comen
comprender,to understand,comprendo,comprendes,comprende,comprendemos,comprendéis,comprenden
correr,to run,corro,corres,corre,corremos,corréis,corren
creer,to believe,creo,crees,cree,creemos,creéis,creen
leer,to read,leo,lees,lee,leemos,leéis,leen
abrir,to open,abro,abres,abre,abrimos,abrís,abren
escribir,to write,escribo,escribes,escribe,escribimos,escribís,escriben
recibir,to receive,recibo,recibes,recibe,recibimos,recibís,reciben
vivir,to live,vivo,vives,vive,vivimos,vivís,viven
estar,to be,estoy,estás,está,estamos,estáis,estan
conocer,to be acquainted with,conozco,conoces,conoce,conocemos,conocéis,conocen
dar,to give,doy,das,da,damos,dais,dan
hacer,to do or to make,hago,haces,hace,hacemos,hacéis,hacen
poder,to be able to,puedo,puedes,puede,podemos,podéis,pueden
oír,to hear,oigo,oyes,oye,oímos,oís,oyen
poner,to put,pongo,pones,pone,ponemos,ponéis,ponen
querer,to want,quiero,quieres,quiere,queremos,queréis,quieren
salir,to leave,salgo,sales,sale,salimos,salís,salen
traer,to bring,traigo,traes,trae,traemos,traéis,traen
venir,to come,vengo,vienes,viene,venimos,venís,vienen
ver,to see,veo,ves,ve,vemos,veis,ven
decir,to say,digo,dices,dice,decimos,decís,dicen
ir,to go,voy,vas,va,vamos,vais,van
jugar,to play,juego,juegas,juega,juegamos,juegáis,juegan
encontrar,to find,encuentro,encuentras,encuentra,encontramos,encontráis,encuentran
almorzar,to have lunch,almuerzo,almuerzas,almuerza,almorzamos,almorzáis,almuerzan
costar,to cost,cuesto,cuestas,cuesta,costamos,costáis,cuestan
dormir,to sleep,duermo,duermes,duerme,dormimos,dormís,duermen
morir,to die,muero,mueres,muere,morimos,morís,mueren
mostrar,to show,muestro,muestras,muestra,mostramos,mostráis,muestran
recordar,to remember,recuerdo,recuerdas,recuerda,recordamos,recordáis,recuerden
cerrar,to close,cierro,cierras,cierra,cerramos,cerráis,cierran
comenzar,to begin,comienzo,comienzas,comienza,comenzamos,comenzáis,comienzan
empezar,to begin,empiezo,empiezas,empieza,empezamos,empezáis,empienzan
entender,to understand,entiendo,entiendes,entiende,entendemos,entendéis,entienden
mentir,to lie,miento,mientes,miente,mentimos,mentís,mienten
pensar,to think,pienso,piensas,piensa,pensamos,pensáis,piensan
perder,to lose,pierdo,pierdes,pierde,perdemos,perdéis,pierden
preferir,to prefer,prefiero,prefieres,prefiere,preferimos,preferís,prefieren
recomendar,to recommend,recomiendo,recomiendas,recomienda,recomendamos,recomendáis,recomiendan
pedir,to ask for,pido,pides,pide,pedimos,pedís,piden
repetir,to repeat,repito,repites,repite,repetimos,repetís,repiten
seguir,to follow,sigo,sigues,sigue,seguimos,seguís,siguen
servir,to serve,sirvo,sirves,sirve,servimos,servís,sirven
demonstrar,to demonstrate,demuenstro,demuenstras,demuenstra,demonstramos,demonstráis,demuestran
devolver,to return (an object),devuelvo,devuelves,devuelve,devolvemos,devolvéis,devuelven
encerrer,to enclose,encierro,encierres,encierre,encerremos,encerréis,encierren
perseguir,to chase,persigo,persigues,persigue,perseguimos,perseguís,persiguen
volver,to return,vuelvo,vuelves,vuelve,volvemos,volvéis,vuelven
conseguir,to get or to obtain,consigo,consigues,consigue,conseguimos,conseguís,consiguen
